model,benchmark,original_value,judgment,pure_hallucination_benchmark,proxy_subtype,extracted_score,source_file,location_context,evidence_snippet
Claude-3.5,CharXiv,2,false_positive,no,chart_document_proxy,,model_best/Claude-3.5_3.5_model_card_addendum.pdf,not_found,
Gemini-1.5,CharXiv,2,false_positive,no,chart_document_proxy,,model_best/Gemini-1.5_1.5_technical_report.pdf,not_found,
Gemini-2.5-Pro,CharXiv,2,false_positive,no,chart_document_proxy,,model_best/Gemini-2.5-Pro_2.5_model_card.pdf,not_found,
Gemma 3,AMBER,2,mentioned_only,yes,N/A,8,model_best/model_reports/Gemma3_3_technical_report.pdf,references_only,"8. T. Kwiatkowski, J. Palomaki, O. Redfield, M. Collins, A. Parikh, C. Alberti, D. Epstein, I. Polosukhin, J. Devlin, K. Lee, K. Toutanova, L. Jones, M. Kelcey, M.-W. Chang, A. M. Dai, J. Uszkoreit, Q. Le, and S. Petrov. Natural questions: A benchmar"
Gemma 3,CharXiv,2,false_positive,no,chart_document_proxy,,model_best/model_reports/Gemma3_3_technical_report.pdf,not_found,
Gemma 3,ChartQA,2,mentioned_only,no,chart_document_proxy,31.0,model_best/model_reports/Gemma3_3_technical_report.pdf,references_only,"PP 31.0 51.2 60.8 46.0 60.4 65.6 HumanE 19.5 40.2 51.2 36.0 45.7 48.8 Table 10 | STEM and code performance after pretraining phase. pre-trained models. On code, we see a similar improvement for the 4B and 12B models but not on the 27B. COCO caption D"
Gemma 3,COCO-Cap,2,mentioned_only,no,factuality_proxy,6,model_best/model_reports/Gemma3_3_technical_report.pdf,references_only,".6 38.4 71.0 82.6 GPQA Diamond 12.5 24.8 26.3 15.0 25.4 24.3 MBPP 31.0 51.2 60.8 46.0 60.4 65.6 HumanE 19.5 40.2 51.2 36.0 45.7 48.8 Table 10 | STEM and code performance after pretraining phase. pre-trained models. On code, we see a similar improveme"
Gemma 3,VQAv2,2,mentioned_only,no,ability_proxy,51.2,model_best/model_reports/Gemma3_3_technical_report.pdf,references_only,"51.2 60.8 46.0 60.4 65.6 HumanE 19.5 40.2 51.2 36.0 45.7 48.8 Table 10 | STEM and code performance after pretraining phase. pre-trained models. On code, we see a similar improvement for the 4B and 12B models but not on the 27B. COCO caption DocVQA In"
Gemma 3,AI2D,2,mentioned_only,no,chart_document_proxy,3,model_best/model_reports/Gemma3_3_technical_report.pdf,references_only,".3 MBPP 31.0 51.2 60.8 46.0 60.4 65.6 HumanE 19.5 40.2 51.2 36.0 45.7 48.8 Table 10 | STEM and code performance after pretraining phase. pre-trained models. On code, we see a similar improvement for the 4B and 12B models but not on the 27B. COCO capt"
PaliGemma,CharXiv,2,false_positive,no,chart_document_proxy,,model_best/model_reports/PaliGemma_1_technical_report.pdf,not_found,
