rank,model,family,organization,num_pure_hallucination_benchmarks_with_scores,pure_benchmarks_with_scores,num_pure_benchmarks_mentioned_only,notes,evidence_files
1,InternVL-3,InternVL,Shanghai AI Lab,3,"POPE, HallusionBench, MMHal-Bench",0,,model_best/InternVL-3_3_technical_report.pdf
2,InternVL-2.5,InternVL,Shanghai AI Lab,2,"HallusionBench, MMHal-Bench",2,,model_best/InternVL-2.5_2.5_technical_report.pdf
3,MiniCPM-o,MiniCPM,Tsinghua/ModelBest,2,"HallusionBench, MMHal-Bench",0,,model_best/MiniCPM-o_4.5_technical_report.pdf
4,Qwen3-VL,Qwen-VL,Alibaba,2,"HallusionBench, SimpleVQA",0,,model_best/Qwen3-VL_3_technical_report.pdf
5,Bunny,Bunny,BAAI,1,POPE,0,,model_best/Bunny_1_technical_report.pdf
6,Claude-Sonnet-4.6,Claude,Anthropic,1,POPE,0,,model_best/official_model_cards_html/Claude-Sonnet-4.6_system_card_page.html
7,Claude-Opus-4.6,Claude,Anthropic,1,POPE,0,,model_best/official_model_cards_html/Claude-Opus-4.6_system_card_page.html
8,CogVLM,CogVLM,Tsinghua/Zhipu,1,POPE,0,,model_best/CogVLM_1_technical_report.pdf
9,GLM-4.5V,GLM,Zhipu AI,1,HallusionBench,0,,model_best/official_model_cards_html/GLM-4.5V_model_card.html
10,GLM-4.1V-Thinking,GLM,Zhipu AI,1,HallusionBench,0,,model_best/official_model_cards_html/GLM-4.1V-Thinking_model_card.html
11,GLM-4.6V,GLM,Zhipu AI,1,HallusionBench,0,,model_best/official_model_cards_html/GLM-4.6V_model_card.html
12,Gemini-1.5,Gemini,Google DeepMind,1,POPE,0,,model_best/Gemini-1.5_1.5_technical_report.pdf
13,Gemini-2.5,Gemini,Google DeepMind,1,FACTS-Grounding,0,,model_best/Gemini-2.5_2.5_technical_report.pdf
14,InternVL,InternVL,Shanghai AI Lab,1,POPE,0,,model_best/InternVL_1_technical_report.pdf
15,InternVL-1.5,InternVL,Shanghai AI Lab,1,HallusionBench,0,,model_best/InternVL-1.5_1.5_technical_report.pdf
16,LLaVA-OneVision,LLaVA,ByteDance/Haotian Liu,1,CHAIR,0,,model_best/LLaVA-OneVision_1_technical_report.pdf
17,MiMo-VL,MiMo-VL,Xiaomi,1,AMBER,0,,model_best/model_reports/MiMo-VL_1_technical_report.pdf
18,MiniCPM-V,MiniCPM,Tsinghua/ModelBest,1,CHAIR,0,,model_best/MiniCPM-V_4.5_technical_report.pdf
19,PaliGemma,PaliGemma,Google,1,POPE,0,,model_best/model_reports/PaliGemma_1_technical_report.pdf
20,VILA,VILA,NVIDIA,1,POPE,1,,model_best/VILA_1_technical_report.pdf
21,BLIP-2,BLIP,Salesforce,0,—,0,官方未披露任何 pure hallucination benchmark 实验结果,N/A
